Chemical,Citation,Crop,Application  rate (lb a.i./A),Nectar (mg a.i./kg),Pollen (mg a.i./kg)
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.027,0.001,0.009
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.251,0.011,0.057
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.377,0.018,0.109
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.377,0.023,0.129
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.027,0,0
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.251,0.007,0.024
Imidacloprid,Dively and Kamel 2012,Pumpkin,0.377,0.016,0.044
Imidacloprid,Stoner and Eitzer 2012,Squash,0.319,0.014,0.028
Imidacloprid,Stoner and Eitzer 2012,Squash,0.367,0.014,0.028
IN-J9Z38,Dinter and Samel_2014_Int_Symposium_ICP_PR_BeeProtectionGroup,Melon,0.401,0.202,0.005
IN-K5A78,Dinter and Samel_2014_Int_Symposium_ICP_PR_BeeProtectionGroup,Melon,0.401,,0.005
Imidacloprid,Beedle 2012,Melon,0.325333,0.0053,0.012
Imidacloprid,Beedle 2012,Melon,0.310833,0.008,0.032
Imidacloprid,Gould and Jerkins 2015,Tomato,0.38,,0.198
Imidacloprid,Freeseman and Harbin 2011,Tomato,0.250,,0.054
Imidacloprid,Byrneetal. 2011,Orange,0.5,0.02119,
Imidacloprid,Byrneetal. 2011,Orange,0.5,0.01755,
Imidacloprid,Byrneetal. 2011,Orange,0.5,0.07281,
Imidacloprid,Byrneetal. 2011,Oranges and Tangerines,0.25,0.00942,0.0102
Imidacloprid,Byrneetal. 2011,Oranges and Tangerines,0.25,0.00759,0.0102
Imidacloprid,Byrneetal. 2011,Oranges and Tangerines,0.25,0.01163,0.0102
Imidacloprid,Byrneetal. 2011,Grape fruit,0.5,0.02384,
Imidacloprid,Byrneetal. 2011,Valencia Oranges,0.5,0.0291,
Imidacloprid,Byrneetal. 2011,Navel Oranges,0.5,0.02645,
Imidacloprid,Beedle and Harbin 2011,Cotton,0.063,0.066,
Imidacloprid,Fischer and Jerkins 2015,Cotton,0.33,0.0831,0.0359
Imidacloprid,Eggen et al. 2013,Rape,0.892,0.155,0.110
Imidacloprid,Gould et al. 2014,Blueberry,0.5,0.016,0.042
Imidacloprid,Gould ei al.2012,Strawberry,0.5,,0.32
Thiamethoxam,Dively and Kamel 2012,Pumpkin,0.171,0.088,0.246
Thiamethoxam,Stoner and Eitzer 2012,Squash,0.125,0.16,0.28
Thiamethoxam,Stoner and Eitzer 2012,Squash,0.128,0.157,0.274
Dimethoate,Lord et al. 1968,Fuchsia,17,0.284,
Dimethoate,Lord et al. 1968,Nasturtium,17,0.074,
Cyantraniliprole,Dinter and Samel_2014_Int_Symposium_ICP_PR_BeeProtectionGroup,Melon,0.401,,0.374
Cyantraniliprole,Dinter and Samel_2014_Int_Symposium_ICP_PR_BeeProtectionGroup,Tomato,0.268,0.0979,0.045
